pulled_at,country,country_code,indicator_code,indicator_name,outcome_link,year,value
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2019,-8.9173460497041
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2018,1.00118385282909
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2017,3.91613360075847
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2016,8.75801975487983
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2015,-6.71909633036532
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2014,3.06839399534952
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2013,-3.0235164188274
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2012,-15.6452329563719
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2011,-10.4886719467066
2026-09-03T12:26:23Z,Botswana,BWA,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2010,-10.3503390585073
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2025,-54.9198488205395
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2024,-53.6630997741222
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2023,-55.356530461231
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2022,-49.3612166434846
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2021,-46.8942998224977
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2020,-52.1985802422223
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2019,-48.0979771354476
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2018,-44.7687326217929
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2017,-51.4129032629612
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2016,-44.7559172509395
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2015,-43.9391656582466
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2014,-49.9930847094107
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2013,-56.8661603396572
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2012,-66.6167080094292
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2011,-54.3509164584256
2026-09-03T12:26:23Z,Lesotho,LSO,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2010,-65.8499176250898
2026-09-03T12:26:23Z,Namibia,NAM,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2025,-19.2269814661034
2026-09-03T12:26:23Z,Namibia,NAM,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2024,-25.8708088378206
2026-09-03T12:26:23Z,Namibia,NAM,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2023,-23.2483661249649
2026-09-03T12:26:23Z,Namibia,NAM,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2022,-18.3456111214813
2026-09-03T12:26:23Z,Namibia,NAM,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2021,-19.6314813257648
2026-09-03T12:26:23Z,Namibia,NAM,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2020,-9.56950450016184
2026-09-03T12:26:23Z,Namibia,NAM,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2019,-10.0993870194718
2026-09-03T12:26:23Z,Namibia,NAM,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2018,-9.94873617723977
2026-09-03T12:26:23Z,Namibia,NAM,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2017,-13.9780579468572
2026-09-03T12:26:23Z,Namibia,NAM,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2016,-23.9472531239575
2026-09-03T12:26:23Z,Namibia,NAM,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2015,-26.4973349678204
2026-09-03T12:26:23Z,Namibia,NAM,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP),Diagnosis Ch.1.3 — trade balance,2014,-25.0459665908978
